2019-08-17 14:51:01 | INFO | Starting MyappApplication on MacBook-Pro-2.local with PID 4911 (/Users/HY/IdeaProjects/myapp/target/classes started by HY in /Users/HY/IdeaProjects/myapp)
2019-08-17 14:51:01 | INFO | No active profile set, falling back to default profiles: default
2019-08-17 14:51:02 | INFO | Tomcat initialized with port(s): 8080 (http)
2019-08-17 14:51:02 | INFO | Initializing ProtocolHandler ["http-nio-8080"]
2019-08-17 14:51:02 | INFO | Starting service [Tomcat]
2019-08-17 14:51:02 | INFO | Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-17 14:51:02 | INFO | Initializing Spring embedded WebApplicationContext
2019-08-17 14:51:02 | INFO | Root WebApplicationContext: initialization completed in 1037 ms
2019-08-17 14:51:03 | INFO | Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 14:51:03 | INFO | Starting ProtocolHandler ["http-nio-8080"]
2019-08-17 14:51:03 | INFO | Tomcat started on port(s): 8080 (http) with context path ''
2019-08-17 14:51:03 | INFO | Started MyappApplication in 2.69 seconds (JVM running for 3.777)
2019-08-17 14:51:05 | INFO | Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-17 14:51:05 | INFO | Initializing Servlet 'dispatcherServlet'
2019-08-17 14:51:05 | INFO | Completed initialization in 7 ms
2019-08-17 14:58:42 | INFO | Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-17 14:58:46 | INFO | Starting MyappApplication on MacBook-Pro-2.local with PID 5586 (/Users/HY/IdeaProjects/myapp/target/classes started by HY in /Users/HY/IdeaProjects/myapp)
2019-08-17 14:58:46 | INFO | No active profile set, falling back to default profiles: default
2019-08-17 14:58:46 | INFO | Tomcat initialized with port(s): 8080 (http)
2019-08-17 14:58:47 | INFO | Initializing ProtocolHandler ["http-nio-8080"]
2019-08-17 14:58:47 | INFO | Starting service [Tomcat]
2019-08-17 14:58:47 | INFO | Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-17 14:58:47 | INFO | Initializing Spring embedded WebApplicationContext
2019-08-17 14:58:47 | INFO | Root WebApplicationContext: initialization completed in 848 ms
2019-08-17 14:58:47 | INFO | Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 14:58:47 | INFO | Starting ProtocolHandler ["http-nio-8080"]
2019-08-17 14:58:47 | INFO | Tomcat started on port(s): 8080 (http) with context path ''
2019-08-17 14:58:47 | INFO | Started MyappApplication in 1.987 seconds (JVM running for 2.81)
2019-08-17 14:58:53 | INFO | Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-17 14:58:53 | INFO | Initializing Servlet 'dispatcherServlet'
2019-08-17 14:58:53 | INFO | Completed initialization in 5 ms
2019-08-17 14:59:10 | INFO | Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-17 14:59:13 | INFO | Starting MyappApplication on MacBook-Pro-2.local with PID 5625 (/Users/HY/IdeaProjects/myapp/target/classes started by HY in /Users/HY/IdeaProjects/myapp)
2019-08-17 14:59:13 | INFO | No active profile set, falling back to default profiles: default
2019-08-17 14:59:14 | INFO | Tomcat initialized with port(s): 8080 (http)
2019-08-17 14:59:14 | INFO | Initializing ProtocolHandler ["http-nio-8080"]
2019-08-17 14:59:14 | INFO | Starting service [Tomcat]
2019-08-17 14:59:14 | INFO | Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-17 14:59:14 | INFO | Initializing Spring embedded WebApplicationContext
2019-08-17 14:59:14 | INFO | Root WebApplicationContext: initialization completed in 1030 ms
2019-08-17 14:59:14 | INFO | Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 14:59:15 | INFO | Starting ProtocolHandler ["http-nio-8080"]
2019-08-17 14:59:15 | INFO | Tomcat started on port(s): 8080 (http) with context path ''
2019-08-17 14:59:15 | INFO | Started MyappApplication in 2.44 seconds (JVM running for 3.173)
2019-08-17 14:59:15 | INFO | Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-17 14:59:15 | INFO | Initializing Servlet 'dispatcherServlet'
2019-08-17 14:59:15 | INFO | Completed initialization in 5 ms
2019-08-17 15:36:46 | INFO | Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-17 15:36:49 | INFO | Starting MyappApplication on MacBook-Pro-2.local with PID 8753 (/Users/HY/IdeaProjects/myapp/target/classes started by HY in /Users/HY/IdeaProjects/myapp)
2019-08-17 15:36:49 | INFO | No active profile set, falling back to default profiles: default
